date,scan_time,rank,symbol,entry,pre,level,which,gap_pct,side,ret_12m,dist_200dma,close_pos,day_ret,rvol,atr_pct,mcap_cr,partial_frac,tradeable,vol_today,vma50,vma_bars
2026-08-04,20:53,2,RAIN,239.0,7,228.0,C,-4.82,above,56.8,60.1,0.987,3.27,1.1,3.94,7771.23,1.0,0.0,,,
2026-08-04,20:53,3,TFCILTD,109.6,8,102.74,C,-6.68,above,97.4,52.6,0.935,3.67,1.71,3.92,4938.48,1.0,0.0,,,
2026-08-04,21:34,1,E2E,570.15,6,567.8,C,-0.41,above,180.5,91.7,1.0,3.29,1.52,5.09,11134.57,1.0,0.0,,,
2026-08-05,10:00,2,SCPL,658.55,6,630.0,C,-4.53,above,120.5,85.1,0.912,4.53,4.82,6.77,661.6,0.133,1.0,,,
2026-08-05,11:00,1,IRISDOREME,53.54,6,53.29,C,-0.47,above,71.7,49.4,0.912,0.07,0.59,4.32,1008.72,0.293,1.0,,,
2026-08-05,11:00,2,UNIPARTS,786.1,6,752.0,C,-4.53,above,118.9,47.6,0.928,2.22,10.67,3.75,3350.83,0.293,1.0,,,
2026-08-05,11:30,4,RICOAUTO,152.54,8,157.0,C+D,2.84,below,110.0,28.3,0.905,5.2,2.3,5.35,1946.75,0.373,1.0,,,
2026-08-05,14:00,1,KABRAEXTRU,445.5,7,408.0,C,-9.19,above,59.2,81.1,0.94,7.35,6.13,6.24,1458.85,0.773,1.0,,,
2026-08-05,14:00,2,SMLMAH,5967.5,7,5987.9,C,0.34,below,74.0,54.3,1.0,10.3,2.79,6.05,8091.43,0.773,1.0,,,
2026-08-05,14:30,1,ATHERENERG,1467.5,6,1345.0,C+D,-9.11,above,325.7,76.0,0.933,0.17,1.23,4.15,46379.05,0.853,1.0,,,
2026-08-05,15:00,2,BLSE,318.85,7,304.75,C,-4.63,above,74.6,59.8,0.932,4.95,1.14,4.25,2743.66,0.933,1.0,,,
2026-08-05,15:30,1,RRKABEL,2807.0,6,2775.0,C,-1.15,above,102.0,66.9,0.952,5.75,1.58,4.19,29743.82,1.0,0.0,,,
2026-08-06,10:19,1,UNIVCABLES,1412.4,6,1391.0,C+D,-1.54,above,94.6,55.1,0.924,0.1,1.35,4.32,4859.44,0.187,1.0,,,
2026-08-07,11:00,1,RPTECH,892.2,6,842.0,C,-5.96,above,211.1,91.3,0.921,3.74,0.44,4.91,5818.44,0.293,1.0,,,
2026-08-07,15:18,1,UNIPARTS,816.8,6,752.0,C,-8.62,above,132.9,52.5,0.97,4.06,1.25,4.11,3350.83,1.0,1.0,,,
2026-08-07,21:15,1,SONACOMS,818.05,7,773.2,C,-5.8,above,82.0,48.1,0.913,3.55,3.05,3.14,48412.1,1.0,0.0,7435782.0,2440928.0,50.0
2026-08-07,21:15,2,COMSYN,225.0,7,228.0,C,1.32,below,67.8,40.3,0.911,7.69,1.5,7.3,843.1,1.0,0.0,1260445.0,840896.0,50.0
2026-08-07,21:15,3,DIVGIITTS,1050.0,6,1065.0,C+D,1.41,below,63.9,46.0,0.952,3.15,0.69,3.93,2997.27,1.0,0.0,165924.0,241181.0,50.0
2026-08-10,14:07,1,MMFL,662.45,7,644.7,C,-2.75,above,99.7,53.3,0.964,5.5,1.84,3.52,3177.51,1.0,1.0,247896.0,134975.0,50.0
2026-08-10,15:18,1,MARINE,355.8,7,344.95,C,-3.15,above,102.9,59.5,0.905,5.31,1.61,4.67,4891.58,1.0,1.0,1789665.0,1109984.0,50.0
2026-08-10,15:18,3,FILATEX,84.59,7,85.38,C,0.93,below,54.8,65.1,0.906,0.92,0.85,4.79,3711.11,1.0,1.0,3979871.0,4709421.0,50.0
2026-08-10,16:54,1,KABRAEXTRU,510.75,6,485.45,C,-5.21,above,95.8,104.8,0.904,15.03,9.9,6.97,1740.54,1.0,0.0,2085501.0,210601.0,50.0
2026-08-10,16:54,2,SHAILY,3367.4,6,3434.0,C,1.94,below,103.4,37.0,0.931,7.38,1.3,3.73,14975.43,1.0,0.0,408496.0,314518.0,50.0
2026-08-10,16:54,3,MBAPL,164.44,6,167.95,C+D,2.09,below,90.9,63.1,0.949,4.41,0.43,4.7,7162.1,1.0,0.0,622910.0,1460119.0,50.0
2026-08-11,10:14,2,VARROC,849.5,6,836.3,C,-1.58,above,57.2,43.9,0.935,3.48,0.66,3.86,12610.29,1.0,1.0,324291.0,491982.0,50.0
2026-08-11,10:14,3,CHENNPETRO,1338.9,6,1354.0,C+D,1.12,below,108.8,32.6,0.999,7.52,1.66,5.26,18466.32,1.0,1.0,2623483.0,1576696.0,50.0
2026-08-11,11:00,1,SAILIFE,1464.0,6,1449.8,C,-0.98,above,85.0,42.0,0.961,3.4,0.65,3.29,29922.76,1.0,1.0,319377.0,492487.0,50.0
2026-08-11,11:00,2,AKUMS,760.1,7,714.7,C+D,-6.35,above,51.3,47.5,0.937,3.61,1.44,3.03,11171.06,1.0,1.0,540570.0,376381.0,50.0
