date,scan_time,rank,symbol,tier,entry,pre,level,day_ret,close_pos,rvol,atr_pct,mcap_cr,partial_frac,tradeable,age,arm,conviction,ext_pct,ret_12m,dist_200dma
2026-08-03,18:16,1,DALMIASUG,A,419.8,4,419.0,15.7,0.979,41.87,3.75,3262.75,1.0,,,,,,,
2026-08-04,21:34,1,MOREPENLAB,A,69.18,5,64.58,20.0,1.0,5.59,4.6,3259.13,1.0,0.0,0.0,fresh_A,3.0,7.12,19.9,54.9
2026-08-04,21:34,2,RBA,B,84.91,6,81.9,7.62,1.0,15.41,3.88,4120.71,1.0,0.0,0.0,fresh_B,2.0,3.68,4.7,28.3
2026-08-05,09:30,1,SJS,B,2510.0,7,2439.9,3.3,1.0,3.87,3.53,7903.93,0.053,1.0,0.0,fresh_B,1.0,2.87,102.7,36.8
2026-08-05,10:00,1,SAURASHCEM,B,70.87,4,76.35,8.2,0.996,51.93,5.5,668.5,0.133,1.0,137.0,aged_B,3.0,-7.18,-34.3,-0.2
2026-08-05,10:30,1,SHRIPISTON,B,4529.0,6,4522.8,5.62,0.988,4.62,3.93,19898.62,0.213,1.0,0.0,fresh_B,1.0,0.14,91.3,38.7
2026-08-05,14:00,2,JGCHEM,B,546.2,5,527.0,8.14,0.981,7.52,4.58,2001.34,0.773,1.0,0.0,fresh_B,2.0,3.64,11.1,39.3
2026-08-05,14:30,1,KABRAEXTRU,B,447.5,7,408.0,7.83,0.985,5.82,6.22,1458.85,0.853,1.0,2.0,aged_B,3.0,9.68,59.9,81.9
2026-08-05,14:30,3,EMIL,B,146.3,6,143.65,7.57,0.981,9.48,4.13,5083.27,0.853,1.0,0.0,fresh_B,2.0,1.84,12.5,28.6
2026-08-05,15:30,2,UNIPARTS,B,811.9,6,752.0,5.58,0.999,5.82,3.83,3350.83,1.0,0.0,0.0,fresh_B,1.0,7.97,126.1,52.4
2026-08-05,17:17,1,KECL,B,150.21,4,148.0,9.8,1.0,9.79,5.72,956.34,1.0,0.0,0.0,fresh_B,3.0,1.49,15.1,40.7
2026-08-06,14:39,1,NAVINFLUOR,B,8613.0,7,7936.0,8.34,0.985,25.54,3.15,39218.63,0.88,1.0,0.0,fresh_B,2.0,8.53,66.0,33.1
2026-08-07,21:15,1,SBCL,B,920.9,6,814.0,8.34,1.0,13.71,3.89,4350.87,1.0,0.0,0.0,fresh_B,2.0,13.13,73.4,68.5
2026-08-10,11:24,1,MOLDTECH,B,203.66,5,204.4,7.2,0.99,6.83,6.76,534.97,0.344,1.0,200.0,aged_B,3.0,-0.36,38.6,42.8
2026-08-10,11:24,3,SHILPAMED,B,793.75,6,786.15,3.04,0.996,3.91,4.21,15306.98,0.344,1.0,0.0,fresh_B,1.0,0.97,85.2,90.0
2026-08-10,12:44,1,RAMCOIND,B,380.0,3,382.2,10.47,0.986,10.58,3.61,3124.8,0.557,1.0,218.0,aged_B,2.0,-0.58,34.1,24.0
2026-08-10,16:54,1,UNIVCABLES,B,1693.4,6,1475.0,7.86,1.0,8.32,5.06,5735.15,1.0,0.0,0.0,fresh_B,3.0,14.81,138.5,83.0
2026-08-10,16:54,2,AARTIPHARM,B,823.0,3,814.0,6.72,1.0,14.36,3.67,7461.55,1.0,0.0,0.0,fresh_B,2.0,1.11,0.7,15.2
2026-08-11,14:54,1,LUMAXTECH,A,2085.8,7,1898.0,15.22,1.0,32.91,3.71,11847.17,1.0,1.0,0.0,fresh_A,3.0,9.89,80.6,34.3
2026-08-11,14:54,2,CHENNPETRO,B,1425.3,7,1354.0,14.46,0.981,8.86,5.39,18466.32,1.0,1.0,0.0,fresh_B,3.0,5.27,122.3,41.1
2026-08-11,15:19,1,JUBLPHARMA,B,963.6,1,1042.0,3.99,0.996,7.18,3.06,15224.69,1.0,1.0,141.0,aged_B,1.0,-7.52,-13.9,-2.1
2026-08-11,22:46,1,AARTISURF,B,572.0,5,563.0,12.6,1.0,4.86,5.82,440.3,1.0,0.0,0.0,fresh_B,3.0,1.6,2.4,41.0
2026-08-11,22:46,2,INDSWFTLAB,B,284.68,7,248.45,7.85,1.0,7.8,4.76,1980.77,1.0,0.0,0.0,fresh_B,2.0,14.58,184.1,100.1
2026-08-12,13:46,1,MATRIMONY,B,538.8,3,547.35,2.38,0.981,8.65,3.48,1030.86,1.0,1.0,144.0,aged_B,1.0,-1.56,1.5,16.1
2026-08-12,13:46,2,KENNAMET,B,3524.8,4,3400.3,5.97,0.983,8.82,3.51,7348.57,1.0,1.0,0.0,fresh_B,0.0,3.66,,
