symbol,mcap_cr,updated
20MICRONS,772.54,2026-08-31
21STCENMGM,42.36,2026-08-31
360ONE,47782.52,2026-08-31
3BBLACKBIO,1232.11,2026-08-31
3IINFOLTD,484.50,2026-08-31
3MINDIA,37698.02,2026-08-31
3PLAND,57.06,2026-08-31
5PAISA,1590.79,2026-08-31
63MOONS,3588.32,2026-08-31
A2ZINFRA,294.38,2026-08-31
AAATECH,123.55,2026-08-31
AADHARHFC,20345.63,2026-08-31
AAKASH,86.18,2026-08-31
AAREYDRUGS,257.27,2026-08-31
AARON,274.27,2026-08-31
AARTECH,157.41,2026-08-31
AARTIDRUGS,3789.53,2026-08-31
AARTIIND,19282.44,2026-08-31
AARTIPHARM,7771.54,2026-08-31
AARTISURF,445.38,2026-08-31
AARVI,210.62,2026-08-31
AASTHA,253.10,2026-08-31
AAVAS,9960.51,2026-08-31
ABAN,86.63,2026-08-31
ABANSENT,190.41,2026-08-31
ABB,157120.33,2026-08-31
ABBOTINDIA,55111.70,2026-08-31
ABCAPITAL,105301.58,2026-08-31
ABCOTS,474.08,2026-08-31
ABDL,17156.00,2026-08-31
ABFRL,6432.88,2026-08-31
ABINFRA,756.91,2026-08-31
ABLBL,10439.95,2026-08-31
ABMINTLLTD,52.33,2026-08-31
ABMKNO,379.84,2026-08-31
ABREL,15098.57,2026-08-31
ABSLAMC,30282.10,2026-08-31
ACC,24231.53,2026-08-31
ACCELYA,1692.67,2026-08-31
ACCURACY,66.17,2026-08-31
ACE,13235.54,2026-08-31
ACEINTEG,24.55,2026-08-31
ACGL,1099.00,2026-08-31
ACI,6021.56,2026-08-31
ACL,405.27,2026-08-31
ACMESOLAR,24738.19,2026-08-31
ACSTECH,287.37,2026-08-31
ACUTAAS,26240.75,2026-08-31
ADANIENSOL,182817.01,2026-08-31
ADANIENT,392720.28,2026-08-31
ADANIGREEN,213257.92,2026-08-31
ADANIPORTS,382826.77,2026-08-31
ADANIPOWER,401574.26,2026-08-31
ADDIND,91.70,2026-08-31
ADFFOODS,2987.48,2026-08-31
ADL,36.15,2026-08-31
ADOR,2984.49,2026-08-31
ADROITINFO,41.42,2026-08-31
ADSL,591.42,2026-08-31
ADVAIT,2372.96,2026-08-31
ADVANCE,826.68,2026-08-31
ADVANIHOTR,463.21,2026-08-31
ADVENTHTL,750.24,2026-08-31
ADVENZYMES,3296.63,2026-08-31
ADVIKCA,72.34,2026-08-31
AEGISLOG,44210.42,2026-08-31
AEGISVOPAK,29734.38,2026-08-31
AEPL,381.47,2026-08-31
AEQUS,16027.54,2026-08-31
AEROENTER,1595.74,2026-08-31
AEROFLEX,6960.06,2026-08-31
AERONEU,185.72,2026-08-31
AEROPLANE,1816.50,2026-08-31
AETHER,22129.22,2026-08-31
AFCONS,10603.65,2026-08-31
AFFLE,22538.02,2026-08-31
AFFORDABLE,182.26,2026-08-31
AFIL,404.66,2026-08-31
AFSL,1070.92,2026-08-31
AGARIND,685.85,2026-08-31
AGARWALEYE,16009.21,2026-08-31
AGI,5063.23,2026-08-31
AGIIL,3602.18,2026-08-31
AGRITECH,58.99,2026-08-31
AGROPHOS,53.75,2026-08-31
AHCL,660.38,2026-08-31
AHLADA,49.04,2026-08-31
AHLEAST,243.74,2026-08-31
AHLUCONT,4165.73,2026-08-31
AHLWEST,581.40,2026-08-31
AIAENG,39663.02,2026-08-31
AIIL,47182.21,2026-08-31
AIRAN,187.91,2026-08-31
AIROLAM,143.40,2026-08-31
AJANTPHARM,44033.33,2026-08-31
AJAXENGG,6584.15,2026-08-31
AJMERA,2295.07,2026-08-31
AJOONI,66.31,2026-08-31
AKASH,41.40,2026-08-31
AKCAPIT,1155.00,2026-08-31
AKG,31.22,2026-08-31
AKI,42.05,2026-08-31
AKSHAR,32.73,2026-08-31
AKSHARCHEM,292.15,2026-08-31
AKSHOPTFBR,119.02,2026-08-31
AKUMS,11960.61,2026-08-31
ALANKIT,220.18,2026-08-31
ALBERTDAVD,510.88,2026-08-31
ALEMBICLTD,2532.16,2026-08-31
ALFREDHE,227.36,2026-08-31
ALGOQUANT,1805.58,2026-08-31
ALICON,1090.40,2026-08-31
ALIVUS,17357.93,2026-08-31
ALKALI,66.41,2026-08-31
ALKEM,63935.10,2026-08-31
ALKYLAMINE,10255.85,2026-08-31
ALLCARGO,1797.33,2026-08-31
ALLDIGI,1242.04,2026-08-31
ALLTIME,1309.47,2026-08-31
ALMONDZ,318.52,2026-08-31
ALOKINDS,4187.00,2026-08-31
ALPA,132.30,2026-08-31
ALPHAGEO,187.12,2026-08-31
ALUFLUOR,375.46,2026-08-31
AMAGI,12437.33,2026-08-31
AMAL,927.32,2026-08-31
AMANTA,639.32,2026-08-31
AMBALALSA,346.09,2026-08-31
AMBER,26803.73,2026-08-31
AMBICAAGAR,41.85,2026-08-31
AMBIKCO,933.29,2026-08-31
AMBUJACEM,100825.78,2026-08-31
AMDIND,109.23,2026-08-31
AMJLAND,161.05,2026-08-31
AMNPLST,997.35,2026-08-31
AMRUTANJAN,1475.86,2026-08-31
ANANDRATHI,36888.76,2026-08-31
ANANTRAJ,21465.79,2026-08-31
ANDHRAPAP,1210.00,2026-08-31
ANDHRSUGAR,1352.82,2026-08-31
ANDREWYU,1386.71,2026-08-31
ANGELONE,25927.51,2026-08-31
ANIKINDS,100.45,2026-08-31
ANMOL,57.56,2026-08-31
ANNAPURNA,295.90,2026-08-31
ANSALBU,57.08,2026-08-31
ANTELOPUS,2755.73,2026-08-31
ANTGRAPHIC,11.88,2026-08-31
ANTHEM,50817.26,2026-08-31
ANUHPHR,824.24,2026-08-31
ANUP,3565.18,2026-08-31
ANURAS,14336.81,2026-08-31
APARINDS,71296.47,2026-08-31
APCL,299.63,2026-08-31
APCOTEXIND,3362.31,2026-08-31
APEX,1190.99,2026-08-31
APLAPOLLO,62313.77,2026-08-31
APLLTD,16411.17,2026-08-31
APOLLO,13869.17,2026-08-31
APOLLOHOSP,126998.94,2026-08-31
APOLLOPIPE,2171.52,2026-08-31
APOLLOTYRE,27928.72,2026-08-31
APOLSINHOT,316.22,2026-08-31
APOORVA,53.72,2026-08-31
APTECHT,530.74,2026-08-31
APTUS,12613.82,2026-08-31
AQYLON,525.98,2026-08-31
ARCHIDPLY,210.14,2026-08-31
ARCHIES,44.93,2026-08-31
ARCL,189.95,2026-08-31
ARE&M,16439.62,2026-08-31
ARENTERP,11.38,2026-08-31
ARFIN,1474.63,2026-08-31
ARIES,618.28,2026-08-31
ARIHANT,914.20,2026-08-31
ARIHANTCAP,855.96,2026-08-31
ARIHANTSUP,1089.48,2026-08-31
ARIS,1104.33,2026-08-31
ARKADE,2304.96,2026-08-31
ARMANFIN,2089.41,2026-08-31
