symbol,security_id,exchange_segment,week_start,entry_level,level_52,hi_short2,close_1,ema_fast_prev,ema_fast_len,ema_slow_prev,ema_slow_len,ema_slow_2,rsi_len,rsi_avg_gain,rsi_avg_loss,rsi_prev_close,rsi_1,macd_fast,macd_slow,macd_signal,macd_ema_fast,macd_ema_slow,macd_sig,vol_sma_len,vol_sma_sum_prev,g_ema_fast,g_ema_slow,g_ema_slow_2,g_rsi,g_rsi_1,g_hist,prev_daily_close,prev_daily_open,mcap,logic_version
20MICRONS,16921,NSE_EQ,2026-09-21,233.52999877929688,237.39999389648438,233.52999877929688,203.22999572753906,198.02038654208286,20,195.92504101817858,50,195.62687960146997,14,4.219573139911782,3.6552332162233805,203.22999572753906,53.58319873636468,12,26,9,202.8510499607763,196.09434637746241,4.898271490122788,10,8783099.0,198.02038654208286,195.92504101817858,195.12756853988296,53.58319873636468,55.93215585917756,1.858432093191091,203.22999572753906,201.2899932861328,786.13,3
21STCENMGM,4,NSE_EQ,2026-09-21,46.4900016784668,53.790000915527344,46.4900016784668,38.619998931884766,37.868544002635815,20,41.41917987095583,50,41.53343215418322,14,0.8835352212619575,0.8403255493182191,38.619998931884766,51.253281955282155,12,26,9,38.57290599423616,37.99157430717244,-0.13905032839816034,10,342381.0,37.868544002635815,41.41917987095583,41.66173553232749,51.253281955282155,50.784251717667594,0.720382015461877,38.619998931884766,39.099998474121094,40.22,3
360ONE,13061,NSE_EQ,2026-09-21,1222.9000244140625,1236.199951171875,1222.9000244140625,1073.0999755859375,1120.8641777483983,20,1100.9473564046498,50,1102.0839841931686,14,14.263955028033575,17.554376311442905,1073.0999755859375,44.829362281285064,12,26,9,1127.0348162021392,1116.530699766409,14.767132558775344,10,37960880.0,1120.8641777483983,1100.9473564046498,1102.536391711257,44.829362281285064,46.70618198747338,-4.263016123045233,1073.0999755859375,1060.5,43538.08,3
3IINFOLTD,6240,NSE_EQ,2026-09-21,27.799999237060547,27.799999237060547,27.799999237060547,25.020000457763672,21.093846073525224,20,20.080729735992715,50,19.879126849389817,14,0.7548298548167827,0.3997213766185002,25.020000457763672,65.37863667413131,12,26,9,22.403321633493732,20.478915414675505,1.4994922205935768,10,41407774.0,21.093846073525224,20.080729735992715,19.757866705223286,65.37863667413131,60.009915827544326,0.42491399822465015,25.020000457763672,23.329999923706055,538.47,3
3MINDIA,474,NSE_EQ,2026-09-21,37300.0,38030.0,37300.0,31935.0,33622.42505434939,20,33154.48052259522,50,33204.25523780319,14,414.675245114563,538.3547096163954,31935.0,43.51124988842836,12,26,9,33605.63309308047,33556.71403826245,315.4574388711103,10,163591.0,33622.42505434939,33154.48052259522,33224.42892097883,43.51124988842836,46.19447527311914,-266.5383840530908,31935.0,31710.0,39049.64,3
3PLAND,2595,NSE_EQ,2026-09-21,37.400001525878906,46.79999923706055,37.400001525878906,31.09000015258789,32.35034617939348,20,34.925863390470525,50,35.08242923691471,14,0.3142764462796959,0.4543943833820627,31.09000015258789,40.88569959367239,12,26,9,31.896448302988112,32.824456613104424,-1.0848472106389362,10,204777.0,32.35034617939348,34.925863390470525,35.23926309266151,40.88569959367239,41.463648211938654,0.15683890052262472,31.09000015258789,31.5,56.0,3
5PAISA,445,NSE_EQ,2026-09-21,416.95001220703125,416.95001220703125,416.95001220703125,321.3500061035156,345.8716367877878,20,346.4724102829113,50,347.4978145351315,14,6.478586771337295,8.206871503113552,321.3500061035156,44.11565952019674,12,26,9,348.45461209680496,344.0251869236728,8.14200645664442,10,2660124.0,345.8716367877878,346.4724102829113,348.3528278715463,44.11565952019674,45.2603935704453,-3.7125812835122325,321.3500061035156,314.1000061035156,1401.68,3
63MOONS,11868,NSE_EQ,2026-09-21,957.9500122070312,957.9500122070312,957.9500122070312,884.75,770.7980420725057,20,734.966926581752,50,728.853331748354,14,28.503017972823443,18.425345840949323,884.75,60.73729330503153,12,26,9,808.5084691614537,755.5350263721507,33.07924309054058,10,42503586.0,770.7980420725057,734.966926581752,721.5044871497536,60.73729330503153,63.055084107993785,19.894199698762442,884.75,872.6500244140625,4124.2,3
A2ZINFRA,20906,NSE_EQ,2026-09-21,17.979999542236328,19.389999389648438,17.979999542236328,14.699999809265137,15.179373907921859,20,15.704865910174176,50,15.745880853068421,14,0.44670760253004926,0.49147305276507486,14.699999809265137,47.614241458595004,12,26,9,15.16124759426761,15.264677788012426,-0.2462706374557124,10,18282265.0,15.179373907921859,15.704865910174176,15.762855584879128,47.614241458595004,50.01313048710145,0.14284044371089719,14.699999809265137,15.199999809265137,261.14,3
AAATECH,12533,NSE_EQ,2026-09-21,110.0,136.0,110.0,86.94999694824219,93.20714717390885,20,94.0647526401118,50,94.35515083161668,14,1.2150543756589158,1.7322239796245007,86.94999694824219,41.22631896918585,12,26,9,92.23270743167808,93.62470463282924,-0.9516941719690855,10,1552777.0,93.20714717390885,94.0647526401118,94.45617750827785,41.22631896918585,46.82046030874168,-0.44030302918207065,86.94999694824219,88.0,114.37,3
AADHARHFC,23729,NSE_EQ,2026-09-21,563.0,563.0,563.0,461.6499938964844,485.3610941772847,20,482.4161990477219,50,483.2637992579765,14,6.642045699631201,8.492736960606276,461.6499938964844,43.885966840352246,12,26,9,482.09912660597524,485.7332414890508,2.1595445669609648,10,15778015.0,485.3610941772847,482.4161990477219,484.3439548279768,43.885966840352246,42.571450751224816,-5.793659450036505,461.6499938964844,467.0,20301.99,3
AAKASH,235,NSE_EQ,2026-09-21,10.600000381469727,13.399999618530273,10.600000381469727,8.880000114440918,8.874628797581224,20,8.951418732909742,50,8.95433377856153,14,0.11686349130968834,0.11606342902476983,8.880000114440918,50.171741051607455,12,26,9,8.889049873328151,8.86933544860289,0.030247719085374027,10,6125127.0,8.874628797581224,8.951418732909742,8.948388202932625,50.171741051607455,53.801429081622814,-0.01053329436011239,8.880000114440918,8.920000076293945,94.78,3
AAREYDRUGS,5245,NSE_EQ,2026-09-21,103.5,103.5,101.29000091552734,102.12999725341797,85.64458352350462,20,78.90904176976821,50,77.96124766839475,14,2.939098997706707,1.5194855500385296,102.12999725341797,65.9200014316886,12,26,9,88.938941090328,83.92872897220352,3.1471369938203857,10,6825216.0,85.64458352350462,78.90904176976821,77.10701290426195,65.9200014316886,64.05418906463964,1.8630751243040997,102.12999725341797,103.0,292.2,3
AARON,1030,NSE_EQ,2026-09-21,154.8000030517578,228.0,154.8000030517578,119.91999816894531,131.08046521671073,20,144.67284203079984,50,145.68316218842656,14,1.719078348851593,2.8336224860008943,119.91999816894531,37.75952805182054,12,26,9,128.70713229431792,133.90221172625047,-6.734543374490527,10,1647978.0,131.08046521671073,144.67284203079984,146.44818911687636,37.75952805182054,42.43305229982544,1.5394639425579717,119.91999816894531,124.41999816894531,253.45,3
AARTECH,17164,NSE_EQ,2026-09-21,60.97999954223633,64.75,60.97999954223633,51.33000183105469,48.2341492956086,20,49.59978017876141,50,49.52915888683107,14,1.2117730488851233,0.9672730813292257,51.33000183105469,55.61025221462031,12,26,9,48.96732368927728,48.137764268545055,0.18664877634974206,10,2602556.0,48.2341492956086,49.59978017876141,49.42871632390716,55.61025221462031,56.83996351974375,0.6429106443824818,51.33000183105469,51.45000076293945,166.19,3
